"","Hashtags","Count","Freq"
"2367","satyagrahagainstexamsincovid",896840,0.0672227638147187
"2632","swamyjihelpjeeneet",693595,0.0519885072789682
"2097","postponejeeneetincovid",611310,0.0457569818707139
"1300","indiaunitedtopostponejeeneet",521840,0.0391145879633745
"2111","postponeneetjeetoday",437304,0.0327781806199899
"2099","postponejeeneetsept",274242,0.0204842391374316
"2093","postponeexamsorresignmodi",226571,0.0169826600288397
"2100","postponejeeneettoday",193869,0.0145314771843313
"1917","ntapostponejeeneet",187554,0.0140581355029947
"2419","scpostponejeeneet",179588,0.0134610428927765
"1842","neverforget",177944,0.0139638606388889
"2306","ripsubhasrisave30lakh",176582,0.0132357277551522
"1656","mannkinahistudentskibaat",143413,0.0107495408623169
"2378","savejeeneetstudentspm",140370,0.0105214523846752
"1238","huntingtonbeach",133744,0.010449501338477
"340","bloodmatters",121593,0.00904646903804281
"380","bt21",116113,0.0145775614639988
"1153","hapuscovid19",113371,0.00894416970434326
"2142","prevention",112447,0.0144625659707387
"2307","riseagainstexamsincovid",109108,0.0081782049354359
"679","covid19peru",108060,0.0138983243554565
"384","btsdynamite",105493,0.00790724212022894
"3023","wearethefuture",100350,0.0075217478578197
"2617","supermthefuture",100140,0.00750600727934295
"3037","wego100",99527,0.00746005978121795
"2618","superone",99489,0.00745721148606502
"1370","jalousechina",99469,0.00745571238335294
"1368","jalouse002",99408,0.00745114012008113
"2615","superm100",99274,0.00744109613191025
"3038","wegohundred",99062,0.00742520564316229
"1369","jalouse2020",99004,0.00742085824529728
"2616","supermgoes100",98876,0.00741126398794002
"449","cashappwisdom",92480,0.0117157380256577
"2109","postponeneetjeeincovid",86528,0.00648571797350696
"1392","jeremyvine",85711,0.00634128216708883
"2053","pleasepostponejeeneet",83550,0.00626250157967948
"2634","swasthabharat",76942,0.00964999594387628
"2502","sopcantsavejeeneet",75745,0.00567747674629351
"277","benice",75450,0.0123412747678098
"62","abc15",74197,0.00556584056905061
"1057","gapol",73414,0.00758900574145962
"46","7news",73260,0.00701996450744038
"2199","qanon2020",71299,0.00794785947111543
"2198","qanon2018",66986,0.00744347645669766
"1751","modijihelpjeeneet",65920,0.00494104253898829
"1550","lifttheban",60135,0.00450742707952155
"1226","hrdpostponejeeneet",58539,0.00438779868309823
"2738","tips",57791,0.00743288971706633
"2326","rules",53803,0.00691996617894343
"3110","wtpteam",51938,0.00515470624091658
"815","dobbs",51233,0.00452526719212011
"2158","promoteayushstudents",50978,0.00370812466130575
"566","confinement",50906,0.00674752127505088
"1655","mannkinahistudentkibaat",50843,0.00381094395949305
"1301","indiaunitedtopostponeneetjee",49577,0.00371605075781891
"1254","iamagainstexamsincovid",47540,0.00356336714659441
"3036","wefeedyou",46694,0.00704920287761216
"2156","promoteallcollegestudents",45590,0.00345714471392412
"475","charity",45358,0.00499494469639785
"2784","trump2020nowmorethanever",44322,0.00487242828319206
"670","covid19malaysia",43968,0.00410165849052311
"257","beatthevirus",43266,0.00431726412965712
"873","editorial",42801,0.003245651478409
"2","10tv",42419,0.00317952189716845
"7","19",41436,0.00534467626219886
"2123","ppenow",41110,0.00544866838052872
"1429","justiceforfloyd",40476,0.00362114564402374
"69","abpoli",39604,0.00405077016595998
