"","Hashtags","Count","Freq"
"486","china",5419220,0.514886982300743
"1567","lockdown",2065367,0.217199485732623
"368","breaking",1979956,0.193943770502556
"2552","stayhome",1588589,0.185082764703616
"1212","hongkong",1301232,0.109191147713539
"1993","pandemic",1121130,0.114494475787622
"1278","india",1119786,0.110752266465511
"1285","indiafightscorona",1113039,0.132049453108184
"2542","stayathome",1107933,0.14026587986202
"2487","socialdistancing",1062728,0.12595055746126
"1247","hydroxychloroquine",1049929,0.104005611543113
"2781","trump",1018348,0.108070439322
"2367","satyagrahagainstexamsincovid",896840,0.0672227638147187
"461","ccp",861259,0.0786417205599637
"514","chinesevirus",815267,0.113937214312366
"1332","iran",748090,0.085472870337655
"2359","sarscov2",736969,0.0730980017596483
"1754","modijipostponejeeneet",731499,0.0548296067388864
"2562","staysafe",715481,0.0751217613344232
"3112","wuhan",710936,0.0908832569428832
"323","blacklivesmatter",707572,0.0546502476508565
"2632","swamyjihelpjeeneet",693595,0.0519885072789682
"2179","protestagainstexamsincovid",689457,0.0516783429278405
"197","auspol",674182,0.0640072589469153
"2556","stayhomesavelives",653536,0.086266146852551
"470","cdnpoli",637891,0.0697344727064237
"2097","postponejeeneetincovid",611310,0.0457569818707139
"3016","wearamask",605173,0.0450967539542937
"2647","taiwan",581814,0.0666164659646531
"1863","nhs",522815,0.0628346271203435
"1300","indiaunitedtopostponejeeneet",521840,0.0391145879633745
"1632","maga",518616,0.0490883348855962
"2782","trump2020",491833,0.0445465643303481
"2518","speakupforstudentsafety",482368,0.0361559588508298
"3008","watch",474735,0.053706616348997
"2107","postponeneetandjee",473176,0.0355049902603481
"1830","neet",457433,0.0342690520039088
"3072","who",439854,0.0490499344273853
"2111","postponeneetjeetoday",437304,0.0327781806199899
"1386","jeeneet",434756,0.032587194934472
"467","ccpvirus",430973,0.0499170751830221
"2121","ppe",422020,0.0511226003210345
"162","antistudentmodigovt",413582,0.0310000948932017
"1382","jee",398664,0.0298709907088959
"1353","italy",391957,0.0547502075537378
"992","flattenthecurve",381578,0.0501123721561268
"1985","pakistan",374887,0.0379525443331784
"1446","kag",373516,0.0358816190046986
"2197","qanon",366005,0.038303368237362
"2854","trumpvirus",364127,0.0314713197993635
"995","florida",359255,0.0345238805859019
"2095","postponejeeandneet",352696,0.0264363765068418
"506","chinese",343924,0.0349214279645811
"2558","stayhomestaysafe",338780,0.0435998292275492
"2096","postponejeeneet",336873,0.0252733205916809
"2205","quarantine",333311,0.0399534961816693
"2934","vaccine",329717,0.031262652275776
"947","fakenews",321910,0.0340640722838797
"1069","georgefloyd",319300,0.0258608573354253
"1832","neetjee",303630,0.0227586278233164
"501","chinavirus",301935,0.0353485005509372
"2914","usa",296111,0.0310973187659701
"1664","marr",281013,0.0254730583566992
"1929","nyc",278204,0.0359402660915617
"2099","postponejeeneetsept",274242,0.0204842391374316
"1710","mentalhealth",272711,0.0291202381185957
"3118","wwg1wga",272181,0.0272681192671023
"1167","health",271920,0.0301915108141738
"708","covidiots",262863,0.0282768723832326
"468","cdc",256008,0.026647155159658
"338","blood",242062,0.0180113246514788
"687","covid19uk",241542,0.0268171297971812
"678","covid19pandemic",240303,0.0275070415560201
"2751","togetherathome",235767,0.0306601712109305
"2327","russia",234416,0.0238529862996226
"2530","standwithhongkong",233297,0.0191569196966988
"2093","postponeexamsorresignmodi",226571,0.0169826600288397
"2651","takeresponsibility",226062,0.0261885293055327
"663","covid19india",223787,0.025639352072687
"263","beijing",215615,0.0187998630459998
"1671","masks",214143,0.0196550268255671
"1939","odisha",211286,0.0210754565201177
"1447","kag2020",210793,0.0208198340040969
"1812","nationalsecuritylaw",210584,0.0162846995957537
"775","delhi",209286,0.018849407361685
"163","antistudentnarendramodi",208866,0.0156555793529783
"3092","worldhealthday",207987,0.0267506088073139
"2498","sonomacounty",205902,0.0154334123310493
"1952","onpoli",205025,0.0206743924155556
"956","fauci",202683,0.0195671932697217
"382","bts",200550,0.0161668225563268
"1684","master",200033,0.0170409826140063
"3115","wuhanvirus",199856,0.023674894129689
"2623","surakshabeforepariksha",196189,0.0147053730989316
"2100","postponejeeneettoday",193869,0.0145314771843313
"1168","healthcare",187867,0.020860622874731
"1917","ntapostponejeeneet",187554,0.0140581355029947
"353","borisjohnson",187014,0.0195496638993638
"2903","update",182964,0.0200318487135334
"1164","hcq",182322,0.0142426512331371
"2640","tablighijamaat",180760,0.0217471538451508
"2419","scpostponejeeneet",179588,0.0134610428927765
"1842","neverforget",177944,0.0139638606388889
"596","coronalockdown",177809,0.0273020977464506
"2306","ripsubhasrisave30lakh",176582,0.0132357277551522
"991","flatteningthecurve",175276,0.0227698819845913
"1016","foxnews",174891,0.0170663083216885
"496","chinaliedpeopledied",174134,0.0220989371087101
"2440","selfquarantine",173530,0.0225232972910828
"80","africa",172127,0.0190120162910939
"312","billgates",171468,0.0169887386157745
"1937","obamagate",169733,0.013972614900726
"2688","texas",169186,0.0148949385835754
"705","covididiots",168314,0.0162471150070201
"204","awaninews",167401,0.014745474410874
"1323","inthistogether",165947,0.0200110091185979
"2935","vaccines",165816,0.0152590984158415
"2879","txlege",165520,0.0173784204371198
"399","canada",164293,0.0173983060199743
"2048","plandemic",163879,0.0144235577234254
"2614","superm",163678,0.0149514256570934
"644","coronawarriors",162844,0.0168770776340469
"2660","tcot",160751,0.0143846937456649
"619","coronavirusindia",160713,0.0200902073006962
"334","blm",159588,0.0119556243874563
"369","breakingnews",159087,0.0152426353417878
"2593","strongertogether",157253,0.018523801485646
"1850","news",156488,0.0156978564245218
"2207","quarantinelife",155377,0.0168486030504981
"2674","telangana",155306,0.0169029230497884
"373","brexit",154491,0.0155135283590712
"1171","healthforall",154150,0.0193235079040784
"707","covidiot",153914,0.0168260800345406
"66","ableg",153006,0.0148549572326722
"2871","turkey",152358,0.0186377367588325
"2508","spain",151538,0.0184491518887055
"1234","humanrights",149755,0.0147393268256652
"265","beirut",148053,0.0110973326915175
"1868","nigeria",146613,0.0173865661515445
"1213","hongkongers",146315,0.0117672620500952
"539","climatechange",146129,0.0152423058554058
"1507","ladakh",145429,0.0112941243674448
"640","coronavirusuk",144759,0.0172218816378807
"1831","neet2020",144706,0.0108522337894591
"822","dogs",144558,0.0148304409718218
"2605","studentslivesmatter",144040,0.0107848568298614
"176","arizona",143981,0.0108473120535933
"1459","kashmir",143734,0.0145930674544262
"1074","germany",143448,0.015458485542499
"2038","physicaldistancing",143417,0.0179744280102874
"1656","mannkinahistudentskibaat",143413,0.0107495408623169
"2541","stayalert",143098,0.0123011160180549
"1833","neetjee2020",142537,0.0106838801635281
"1857","newyork",142465,0.0168839974087165
"199","australia",142117,0.0132954323844425
"2310","rnc2020",142006,0.0106440789865226
"1702","medtwitter",141585,0.0162418484200896
"2378","savejeeneetstudentspm",140370,0.0105214523846752
"413","cancelcompartmentexam2020",137674,0.0102026865883429
"1379","japan",136025,0.0133731089637649
"2285","resist",135418,0.0133518319610748
"3094","worldhealthorganization",135100,0.0142545332815254
"2734","tiktok",133777,0.0108955863634625
"1238","huntingtonbeach",133744,0.010449501338477
"460","ccot",132920,0.0114277233779226
"1017","france",132268,0.0148448148823199
"2888","uighur",130632,0.0108665476209306
"1668","mask",130426,0.0109357101911275
"2282","resignnishankpokhriyal",128801,0.00965429642087728
"1884","noexamsincovid",128486,0.00963016750956964
"2340","safehands",127920,0.0132878331840003
"1121","gravitas",127674,0.0113536634850647
"870","economy",127669,0.0129407517311137
"1015","foxandfriends",127540,0.0109804737287927
"3113","wuhancoronavirus",127506,0.0154237652056604
"2108","postponeneetjee",127458,0.00956515814131317
"3120","xijinping",127128,0.0119062141482033
"1484","killercuomo",127011,0.0104070414547867
"1700","medicareforall",126663,0.0117125430258321
"1291","indian",126571,0.0116581103410182
"132","americafirst",126456,0.0122366873090609
"519","chloroquine",125968,0.0184576562857886
"1528","lebanon",125805,0.0106473131481537
"131","america",125623,0.0126329493603709
"1790","mumbai",124347,0.0121333651639643
"3007","washyourhands",124010,0.0152364620943005
"1243","hyderabad",123675,0.0107890908097793
"383","btsarmy",123674,0.0112428364212491
"2063","pmqs",122521,0.0104469063129662
"2186","publichealth",122244,0.0127806857952978
"737","cuba",122115,0.0149106874792482
"340","bloodmatters",121593,0.00904646903804281
"747","cybersecurity",121465,0.0124248350260127
"874","education",120829,0.0114413643848425
"1637","maharashtra",120034,0.0122978562063619
"2180","protestagainstexamslncovid",119309,0.00894282227372806
"920","excludeduk",118281,0.00878067016990384
"868","ebola",117174,0.0103168488783056
"2585","stopthespread",116373,0.0138821226822739
"784","democrats",116301,0.011945862009273
"380","bt21",116113,0.0145775614639988
"2929","uyghur",115751,0.00877462126329452
"546","cnn",115182,0.011238973320499
"1597","london",115143,0.0109592587971811
"1437","justiceforstudents",114454,0.00858704152595887
"2547","stayathomesavelives",114033,0.0158058996765815
"1153","hapuscovid19",113371,0.00894416970434326
"1085","giveaway",112617,0.0113647446346855
"2142","prevention",112447,0.0144625659707387
"1947","onev1",112075,0.00829595013682182
"367","brazil",111843,0.01066039664983
"1766","mondaythoughts",111455,0.0103920859358021
"1253","hygiene",111242,0.0143075828053831
"2594","studentlivesmatter",110393,0.00828022832426018
"641","coronavirususa",110353,0.015164141964641
"1942","ohio",110201,0.012299884337297
"147","andhrapradesh",109854,0.0119566646602787
"359","boycottchina",109549,0.00976291295922689
"3015","wearadamnmask",109441,0.00807795372502497
"1844","new",109250,0.0110566005028778
"2307","riseagainstexamsincovid",109108,0.0081782049354359
"2830","trumpownseverydeath",108557,0.0119761489719939
"2690","thailand",108412,0.0126343673373605
"679","covid19peru",108060,0.0138983243554565
"1191","heroesact",107764,0.00847865742225463
"1346","israel",107417,0.0116856443913735
"2405","scamdemic",107409,0.0081728531838239
"2917","usnavy",107141,0.0138227253571681
"3124","yemen",106862,0.0115509128594059
"2525","srilanka",106594,0.0126396221727925
"1169","healthcareheroes",106110,0.0120100797430889
"3005","warroompandemic",105903,0.00925485693225314
"778","demconvention",105751,0.00792658054521466
"384","btsdynamite",105493,0.00790724212022894
"1772","morningjoe",104627,0.00882617136453475
"1377","jantacurfew",103728,0.0169666765952999
"2127","prabhas",103646,0.0121695421751565
"1566","lka",103547,0.0124865954609707
"1256","icantbreathe",103537,0.0083877868234405
"1563","live",103537,0.011132770419413
"2413","science",102624,0.0113033404413387
"295","biden",102211,0.0097917159689265
"1293","indianarmy",102063,0.00928376313763945
