"","Hashtags","Freq","Count"
"98","againstexamsincovid",0.0225858742819781,211685
"1216","helpjeeneet",0.0223881671934054,209832
"2703","swamyji",0.0220177198045634,206360
"1362","indiaunitedtopostponejee",0.0105970145909539,99320
"2816","today",0.007261930416715,65167
"1892","neetincovid",0.00548285781089264,51641
"2225","promote",0.00530602434507925,50428
"1902","neetsept",0.00497042248685631,46823
"657","covid",0.00759155514040496,44937
"1976","ntapostponejee",0.00455963973564652,42735
"2174","postponeexams",0.00426249227656672,39950
"2343","resignmodi",0.00402829526662769,37755
"2463","scpostponejee",0.00383955061488185,35986
"2623","stayhom",0.00582338159964312,35541
"2435","savejee",0.00369423110347549,34624
"1903","neetstudentspm",0.00349246957919545,32733
"2430","save30lakh",0.00326168683090474,30570
"2367","ripsubhasri",0.00317312941940161,29740
"1698","mann",0.00316896828801772,29701
"1853","nahi",0.0030947080971669,29005
"232","baat",0.00285997760884533,26805
"2777","the",0.00418995359339235,26610
"2325","related",0.0040560848002018,26354
"128","alp",0.00250029648640525,24078
"123","all",0.00268445226298695,23169
"2429","save",0.00233362174641202,20672
"2170","postpone",0.00216878653426566,20309
"2128","pleasepostponejee",0.00214138222755179,20070
"2562","sopcantsavejee",0.00201345411141653,18871
"421","cancel",0.00196902881873217,18790
"2944","u0001f1fa",0.00244398705949917,18481
"258","based",0.00248395488934428,17483
"2667","student",0.00169873618553802,15915
"2600","start",0.00154476556458213,14937
"2604","stay",0.00237800107476764,14247
"563","college",0.00152100475136072,14213
"227","ayush",0.0013830905385796,13484
"2043","pakchina",0.0013552384557259,12664
"1065","friendship",0.0013484965082598,12601
"2145","pokhriyal",0.00132996160769472,12465
"1826","mphw",0.00127313258416271,12412
"126","allunitedagainstcov",0.00212277837971415,12382
"2368","rise",0.00130648855886256,12245
"999","fhw",0.00125538750383237,12239
"2837","training",0.00126967555764778,12235
"2169","postpon",0.00130435464533237,12225
"155","amp",0.00181974506337652,12135
"946","exam",0.0011849941598439,11215
"1036","for",0.00118684616137108,10909
"2594","sta",0.00187914055411562,10880
