"","hashtags","Freq","Count"
"1","china",0.0297783358585334,149214
"2","chinesevirus",0.0250942759115068,125743
"3","breaking",0.0177481787426579,88933
"4","italy",0.0150432344061575,75379
"5","lockdown",0.0140348174272335,70326
"6","socialdistancing",0.013490196422784,67597
"7","indiafightscorona",0.0134341178217395,67316
"8","stayathome",0.0131150086293193,65717
"9","stayhome",0.0127048964401863,63662
"10","wuhan",0.0122456905291425,61361
"11","coronalockdown",0.011696279893287,58608
"12","iran",0.00926873504238026,46444
"13","trump",0.00923600589443972,46280
"14","taiwan",0.00812022134483271,40689
"15","stayhomesavelives",0.00794021103115975,39787
"16","india",0.00735906908723994,36875
"17","pandemic",0.00729979739859153,36578
"18","usnsmercy",0.00717227346240858,35939
"19","nyc",0.006840791055523,34278
"20","prabhas",0.00597047511547003,29917
"21","watch",0.00587847427888108,29456
"22","ccpvirus",0.00575194818257436,28822
"23","jantacurfew",0.00545938153086199,27356
"24","nhs",0.00522249434424358,26169
"25","kanikakapoor",0.00500336870742217,25071
"26","janatacurfew",0.00479841239684331,24044
"27","ccp",0.00468286253917519,23465
"28","flattenthecurve",0.00420848946201263,21088
"29","sarscov2",0.00402887828429017,20188
"30","usnscomfort",0.00399794524812686,20033
"31","spain",0.00391851719397848,19635
"32","covid",0.00384427790718652,19263
"33","quarantine",0.00384168352350831,19250
"34","usa",0.00374668916729065,18774
"35","pmcaresfund",0.00369200754207292,18500
"36","chloroquine",0.00356987194122164,17888
"37","telangana",0.00350122055773661,17544
"38","pakistan",0.00329905819881121,16531
"39","update",0.00315556882460849,15812
"40","staysafe",0.00314479215394514,15758
"41","turkey",0.0031048785588957,15558
"42","ppe",0.00302245698511862,15145
"43","andhrapradesh",0.00299930709998994,15029
"44","washyourhands",0.00295580128138606,14811
"45","kerala",0.00291888120596533,14626
"46","usnavy",0.00290890280720297,14576
"47","nigeria",0.00287657279521292,14414
"48","usnavyalwaysthere",0.00284823414272782,14272
"49","stayhomestaysafe",0.00252992322220856,12677
"50","covidiots",0.00252912495030757,12673
"51","who",0.00251854784761947,12620
"52","wuhanvirus",0.00250338068150069,12544
"53","chinese",0.00250318111352544,12543
"54","chinavirus",0.00243133664243645,12183
"55","chinesevirus19",0.00219923908722398,11020
"56","hydroxychloroquine",0.0021904580963131,10976
"57","pmcares",0.00218407192110519,10944
"58","florida",0.00215254018101614,10786
"59","the",0.00212939029588746,10670
"60","healthworkers",0.002108834794437,10567
"61","popefrancis",0.00209785855579841,10512
"62","coronavirusuk",0.00206832249546182,10364
"63","stayathomeandstaysafe",0.00203958470702623,10220
"64","fakenews",0.00203938513905098,10219
"65","coronacrisischarity",0.0020381877311995,10213
"66","filmyourhospital",0.00203040458016486,10174
"67","thankatrucker",0.00200466031135797,10045
"68","coronavirusindia",0.00194019985535313,9722
"69","caresact",0.00191864651402644,9614
"70","russia",0.00190427761980864,9542
"71","stayhom",0.00190347934790765,9538
"72","stayathomesavelives",0.00188312341443244,9436
"73","medtwitter",0.00183462839644737,9193
"74","cuba",0.00180928326359098,9066
"75","yemen",0.00180648931193752,9052
"76","hantavirus",0.00180589060801178,9049
"77","stopthespread",0.0017615865175069,8827
"78","thelockdown",0.00175659731812572,8802
"79","nancypelosi",0.00174981200696732,8768
"80","physicaldistancing",0.00171309149952184,8584
"81","hongkong",0.00168475284703673,8442
"82","modiji",0.00166798913711597,8358
"83","saudiarabia",0.00166539475343776,8345
"84","cdc",0.00164863104351699,8261
"85","lockdown21",0.00163585869310117,8197
"86","21dayslockdown",0.00160652220073984,8050
"87","mentalhealth",0.00156421378998744,7838
"88","animalcrossingnew",0.00155623107097755,7798
"89","health",0.00155363668729933,7785
"90","france",0.0015416626087845,7725
"91","chinaliedpeopledied",0.00152849112241819,7659
"92","stayathomechallenge",0.00152270365113602,7630
"93","safehands",0.00150633907716575,7548
"94","healthcare",0.00145644708335396,7298
"95","cdnpoli",0.00144866393231932,7259
"96","fefsi",0.0014460695486411,7246
"97","covid19uk",0.00143788726165597,7205
"98","newyork",0.00143768769368072,7204
"99","live",0.0014358915819035,7195
"100","auspol",0.00143509331000251,7191
"101","jammuandkashmir",0.00141513651247779,7091
"102","quarantinelife",0.001382207796562,6926
"103","ccc",0.00137841600503231,6907
"104","qanon",0.00137661989325508,6898
"105","democrats",0.00137462421350261,6888
"106","lockdownnow",0.00137262853375014,6878
"107","covid19italia",0.0013716306938739,6873
"108","syria",0.00136624235854223,6846
"109","21daylockdown",0.00135007735254721,6765
"110","germany",0.00133451105047793,6687
"111","rajasthan",0.00132972141907199,6663
"112","covidiot",0.00131994258828488,6614
"113","stimuluspackage",0.00131754777258191,6602
"114","coronavirussa",0.00131375598105222,6583
"115","covid19india",0.00130617239799283,6545
"116","covid19out",0.00130158233456214,6522
"117","coronavirusoutbreakindia",0.00128242380893841,6426
"118","borisjohnson",0.00126845405067111,6356
"119","maga",0.00126645837091864,6346
"120","new",0.00125987262773548,6313
"121","handhygiene",0.00125628040418103,6295
"122","srilanka",0.00125169034075034,6272
"123","bts",0.00123093527132464,6168
"124","africa",0.00123053613537414,6166
"125","israel",0.00122155557648802,6121
"126","handwashchallenge",0.00121916076078505,6109
"127","kashmir",0.00121756421698308,6101
